[2025-06-22 01:49:34]    8 | INFO     | Starting the Pipeline...
[2025-06-22 01:49:37]   53 | INFO     | Train data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_01-49-31\train.csv
[2025-06-22 01:49:37]   54 | INFO     | Test data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_01-49-31\test.csv
[2025-06-22 01:49:37]   56 | INFO     | Data Ingestion completed successfully.
[2025-06-22 01:49:37]   70 | INFO     | Data Ingestion Pipeline completed.
[2025-06-22 01:49:37]   13 | INFO     | Data ingestion completed.
[2025-06-22 01:49:37]   16 | INFO     | Starting data transformation...
[2025-06-22 01:49:37]  156 | INFO     | Starting full data transformation process...
[2025-06-22 01:49:38]  159 | DEBUG    | Train shape: (36467, 20), Test shape: (9117, 20)
[2025-06-22 01:49:38]  147 | INFO     | Creating feature engineering pipeline...
[2025-06-22 01:49:38]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 01:49:38]   61 | DEBUG    | Dropping ID column...
[2025-06-22 01:49:38]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 01:49:38]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 01:49:38]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 01:49:38]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 01:49:38]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 01:49:38]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 01:49:38]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 01:49:38]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 01:49:38]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 01:49:38]   61 | DEBUG    | Dropping ID column...
[2025-06-22 01:49:38]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 01:49:38]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 01:49:38]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 01:49:38]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 01:49:38]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 01:49:38]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 01:49:38]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 01:49:38]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 01:49:38]  104 | INFO     | Creating data transformation pipeline...
[2025-06-22 01:49:38]  113 | DEBUG    | Defined column groups. Ordinal: ['Weather_conditions', 'Road_traffic_density'], Numerical: ['Delivery_person_Age', 'Delivery_person_Ratings', 'Vehicle_condition', 'multiple_deliveries', 'distance'], Categorical: ['Type_of_order', 'Type_of_vehicle', 'Festival', 'City', 'Delivery_person_City']
[2025-06-22 01:49:38]  138 | INFO     | Data transformation pipelines created successfully.
[2025-06-22 01:49:38]  173 | DEBUG    | Fitting and transforming training data...
[2025-06-22 01:49:38]  175 | DEBUG    | Transforming testing data...
[2025-06-22 01:49:39]  190 | INFO     | Data transformation pipeline completed and artifacts saved.
[2025-06-22 01:49:39]   20 | INFO     | Data transformation completed.
[2025-06-22 01:49:39]   21 | INFO     | Preprocessor object saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\2025-06-22_01-49-31\data tranformation models\preprocessor.pkl
[2025-06-22 01:49:39]   24 | INFO     | Starting model training...
[2025-06-22 01:49:39]   29 | INFO     | Starting model training process...
[2025-06-22 01:49:39]   30 | INFO     | Splitting the train and test arrays
[2025-06-22 01:49:39]   87 | INFO     | Evaluating all models using cross-validation...
[2025-06-22 01:49:39]   35 | INFO     | Starting GridSearchCV for: LinearRegression
[2025-06-22 01:49:41]   41 | INFO     | Best params for LinearRegression: {}
[2025-06-22 01:49:41]   45 | INFO     | Model LinearRegression trained with best parameters.
[2025-06-22 01:49:41]   71 | INFO     | Evaluation completed for LinearRegression with Test R2: 0.5224
[2025-06-22 01:49:41]   35 | INFO     | Starting GridSearchCV for: Lasso
[2025-06-22 01:49:54]   41 | INFO     | Best params for Lasso: {'alpha': 0.01, 'max_iter': 1000}
[2025-06-22 01:50:00]   45 | INFO     | Model Lasso trained with best parameters.
[2025-06-22 01:50:00]   71 | INFO     | Evaluation completed for Lasso with Test R2: 0.5226
[2025-06-22 01:50:00]   35 | INFO     | Starting GridSearchCV for: Ridge
[2025-06-22 01:50:02]   41 | INFO     | Best params for Ridge: {'alpha': 10.0, 'solver': 'auto'}
[2025-06-22 01:50:02]   45 | INFO     | Model Ridge trained with best parameters.
[2025-06-22 01:50:02]   71 | INFO     | Evaluation completed for Ridge with Test R2: 0.5224
[2025-06-22 01:50:02]   35 | INFO     | Starting GridSearchCV for: ElasticNet
[2025-06-22 01:50:26]   41 | INFO     | Best params for ElasticNet: {'alpha': 0.01, 'l1_ratio': 0.9, 'max_iter': 1000}
[2025-06-22 01:50:33]   45 | INFO     | Model ElasticNet trained with best parameters.
[2025-06-22 01:50:33]   71 | INFO     | Evaluation completed for ElasticNet with Test R2: 0.5225
[2025-06-22 01:50:33]   35 | INFO     | Starting GridSearchCV for: KNeighborsRegressor
[2025-06-22 01:50:38]   41 | INFO     | Best params for KNeighborsRegressor: {'n_neighbors': 9, 'weights': 'distance'}
[2025-06-22 01:50:38]   45 | INFO     | Model KNeighborsRegressor trained with best parameters.
[2025-06-22 01:50:41]   71 | INFO     | Evaluation completed for KNeighborsRegressor with Test R2: 0.4852
[2025-06-22 01:50:41]   35 | INFO     | Starting GridSearchCV for: DecisionTreeRegressor
[2025-06-22 01:50:42]   41 | INFO     | Best params for DecisionTreeRegressor: {'criterion': 'friedman_mse', 'max_depth': 10}
[2025-06-22 01:50:42]   45 | INFO     | Model DecisionTreeRegressor trained with best parameters.
[2025-06-22 01:50:42]   71 | INFO     | Evaluation completed for DecisionTreeRegressor with Test R2: 0.7705
[2025-06-22 01:50:42]   35 | INFO     | Starting GridSearchCV for: RandomForestRegressor
[2025-06-22 01:56:17]   41 | INFO     | Best params for RandomForestRegressor: {'bootstrap': True, 'max_depth': 20, 'n_estimators': 200}
[2025-06-22 01:56:46]   45 | INFO     | Model RandomForestRegressor trained with best parameters.
[2025-06-22 01:56:48]   71 | INFO     | Evaluation completed for RandomForestRegressor with Test R2: 0.8096
[2025-06-22 01:56:48]   35 | INFO     | Starting GridSearchCV for: GradientBoostingRegressor
[2025-06-22 02:06:35]   41 | INFO     | Best params for GradientBoostingRegressor: {'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 100}
[2025-06-22 02:06:46]   45 | INFO     | Model GradientBoostingRegressor trained with best parameters.
[2025-06-22 02:06:47]   71 | INFO     | Evaluation completed for GradientBoostingRegressor with Test R2: 0.8188
[2025-06-22 02:06:47]   35 | INFO     | Starting GridSearchCV for: XGBRegressor
[2025-06-22 02:15:46]   41 | INFO     | Best params for XGBRegressor: {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 3}
[2025-06-22 02:15:46]   45 | INFO     | Model XGBRegressor trained with best parameters.
[2025-06-22 02:15:46]   71 | INFO     | Evaluation completed for XGBRegressor with Test R2: 0.8161
[2025-06-22 02:15:46]   73 | INFO     | All models evaluated successfully.
[2025-06-22 02:15:46]   90 | INFO     | Finding the best performing model based on test R2 score...
[2025-06-22 02:15:46]   96 | INFO     | Best model: GradientBoostingRegressor with test R2 score: 0.8188
[2025-06-22 02:15:46]   97 | INFO     | Hyperparameters used: {'n_estimators': [50, 100, 150, 200], 'learning_rate': [0.05, 0.1, 1.0, 10.0], 'max_depth': [3, 5, 9]}
[2025-06-22 02:15:46]   99 | INFO     | Saving the best model object...
[2025-06-22 02:15:46]  101 | INFO     | Model saved successfully at C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\2025-06-22_01-49-31\model.pkl
[2025-06-22 02:15:46]  109 | INFO     | {'best_model_name': 'GradientBoostingRegressor', 'best_model_score': 0.8188156121147427, 'best_model_params': {'n_estimators': [50, 100, 150, 200], 'learning_rate': [0.05, 0.1, 1.0, 10.0], 'max_depth': [3, 5, 9]}, 'metrics_report': {'LinearRegression': {'train_r2_score': 0.5304521264494316, 'test_r2_score': 0.5223603896641009, 'train_mae_score': 5.102744050835708, 'test_mae_score': 5.145289362485762, 'train_mse_score': 41.285133810595205, 'test_mse_score': 42.18988418447293, 'train_rmse_score': 6.4253508706214015, 'test_rmse_score': 6.4953740603965935, 'best_params': {}}, 'Lasso': {'train_r2_score': 0.5304167098034698, 'test_r2_score': 0.5225548094668615, 'train_mae_score': 5.103115817189664, 'test_mae_score': 5.1443278987905305, 'train_mse_score': 41.28824782952707, 'test_mse_score': 42.172711092492825, 'train_rmse_score': 6.425593188922488, 'test_rmse_score': 6.494051977963591, 'best_params': {'alpha': 0.01, 'max_iter': 1000}}, 'Ridge': {'train_r2_score': 0.5304521031010438, 'test_r2_score': 0.5223621982184818, 'train_mae_score': 5.102758569583264, 'test_mae_score': 5.145287912825615, 'train_mse_score': 41.28513586350901, 'test_mse_score': 42.189724434950016, 'train_rmse_score': 6.425351030372505, 'test_rmse_score': 6.495361763208422, 'best_params': {'alpha': 10.0, 'solver': 'auto'}}, 'ElasticNet': {'train_r2_score': 0.5304204354307738, 'test_r2_score': 0.522541570179154, 'train_mae_score': 5.1031272200206725, 'test_mae_score': 5.14441334859271, 'train_mse_score': 41.28792025265911, 'test_mse_score': 42.1738805181497, 'train_rmse_score': 6.425567698862032, 'test_rmse_score': 6.494142015551377, 'best_params': {'alpha': 0.01, 'l1_ratio': 0.9, 'max_iter': 1000}}, 'KNeighborsRegressor': {'train_r2_score': 0.9999815071372763, 'test_r2_score': 0.48523924860340406, 'train_mae_score': 0.0004038276631760038, 'test_mae_score': 5.313776014228696, 'train_mse_score': 0.0016259903517775744, 'test_mse_score': 45.46879281821228, 'train_rmse_score': 0.04032357067246866, 'test_rmse_score': 6.743055154617399, 'best_params': {'n_neighbors': 9, 'weights': 'distance'}}, 'DecisionTreeRegressor': {'train_r2_score': 0.8055651642477548, 'test_r2_score': 0.7704903271868008, 'train_mae_score': 3.2584989528464114, 'test_mae_score': 3.5250300166885613, 'train_mse_score': 17.095739675643618, 'test_mse_score': 20.27257854179139, 'train_rmse_score': 4.134699466181746, 'test_rmse_score': 4.50250802795413, 'best_params': {'criterion': 'friedman_mse', 'max_depth': 10}}, 'RandomForestRegressor': {'train_r2_score': 0.956529382846586, 'test_r2_score': 0.8095570408561574, 'train_mae_score': 1.5469797968173287, 'test_mae_score': 3.217932145827046, 'train_mse_score': 3.8221666992909413, 'test_mse_score': 16.82181757157158, 'train_rmse_score': 1.9550362398919723, 'test_rmse_score': 4.1014409140656385, 'best_params': {'bootstrap': True, 'max_depth': 20, 'n_estimators': 200}}, 'GradientBoostingRegressor': {'train_r2_score': 0.8716170983894366, 'test_r2_score': 0.8188156121147427, 'train_mae_score': 2.688883021881547, 'test_mae_score': 3.1702960136181724, 'train_mse_score': 11.28810409022919, 'test_mse_score': 16.00400841031147, 'train_rmse_score': 3.3597773870048577, 'test_rmse_score': 4.000501019911315, 'best_params': {'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 100}}, 'XGBRegressor': {'train_r2_score': 0.8497966836927914, 'test_r2_score': 0.816138619874723, 'train_mae_score': 2.9026033043505963, 'test_mae_score': 3.189651773181318, 'train_mse_score': 13.206670420306832, 'test_mse_score': 16.24046700822746, 'train_rmse_score': 3.6340982953556487, 'test_rmse_score': 4.029946278578346, 'best_params': {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 3}}}}
[2025-06-22 02:15:46]  117 | INFO     | Report saved successfully at C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\2025-06-22_01-49-31\report.json
[2025-06-22 02:15:46]   27 | INFO     | Model training completed.
[2025-06-22 02:15:46]   29 | INFO     | Pipeline execution completed successfully.
